enrollmentId,studentCode,courseCode,enrollmentDate,enrollmentStatus,finalGrade,letterGrade,gradePoints,createdAt
1,B44,DTDM_2425S1,2025-11-27 20:35:11.0,enrolled,,,0.00,2025-11-27 20:35:11.0
2,B31,DTDM_2425S1,2025-11-27 20:35:11.0,enrolled,,,0.00,2025-11-27 20:35:11.0
3,B30,DTDM_2425S1,2025-11-27 20:35:11.0,enrolled,,,0.00,2025-11-27 20:35:11.0
4,B29,DTDM_2425S1,2025-11-27 20:35:11.0,enrolled,,,0.00,2025-11-27 20:35:11.0
5,B32,DTDM_2425S1,2025-11-27 20:35:11.0,enrolled,,,0.00,2025-11-27 20:35:11.0
6,B28,DTDM_2425S1,2025-11-27 20:35:11.0,enrolled,,,0.00,2025-11-27 20:35:11.0
7,B33,DTDM_2425S1,2025-11-27 20:35:11.0,enrolled,,,0.00,2025-11-27 20:35:11.0
8,B34,DTDM_2425S1,2025-11-27 20:35:11.0,enrolled,,,0.00,2025-11-27 20:35:11.0
9,B35,DTDM_2425S1,2025-11-27 20:35:11.0,enrolled,,,0.00,2025-11-27 20:35:11.0
10,B36,DTDM_2425S1,2025-11-27 20:35:11.0,enrolled,,,0.00,2025-11-27 20:35:11.0
11,B37,DTDM_2425S1,2025-11-27 20:35:11.0,enrolled,,,0.00,2025-11-27 20:35:11.0
12,B38,DTDM_2425S1,2025-11-27 20:35:11.0,enrolled,,,0.00,2025-11-27 20:35:11.0
13,B39,DTDM_2425S1,2025-11-27 20:35:11.0,enrolled,,,0.00,2025-11-27 20:35:11.0
14,B40,DTDM_2425S1,2025-11-27 20:35:11.0,enrolled,,,0.00,2025-11-27 20:35:11.0
15,B41,DTDM_2425S1,2025-11-27 20:35:11.0,enrolled,,,0.00,2025-11-27 20:35:11.0
16,B42,DTDM_2425S1,2025-11-27 20:35:11.0,enrolled,,,0.00,2025-11-27 20:35:11.0
17,B43,DTDM_2425S1,2025-11-27 20:35:11.0,enrolled,,,0.00,2025-11-27 20:35:11.0
18,B45,DTDM_2425S1,2025-11-27 20:35:11.0,enrolled,,,0.00,2025-11-27 20:35:11.0
19,B46,DTDM_2425S1,2025-11-27 20:35:12.0,enrolled,,,0.00,2025-11-27 20:35:12.0
20,B47,DTDM_2425S1,2025-11-27 20:35:12.0,enrolled,,,0.00,2025-11-27 20:35:12.0
21,B48,DTDM_2425S1,2025-11-27 20:35:12.0,enrolled,,,0.00,2025-11-27 20:35:12.0
22,B49,DTDM_2425S1,2025-11-27 20:35:12.0,enrolled,,,0.00,2025-11-27 20:35:12.0
23,B50,DTDM_2425S1,2025-11-27 20:35:12.0,enrolled,,,0.00,2025-11-27 20:35:12.0
24,B24,DTDM_2425S1,2025-11-27 20:35:12.0,enrolled,,,0.00,2025-11-27 20:35:12.0
25,B25,DTDM_2425S1,2025-11-27 20:35:12.0,enrolled,,,0.00,2025-11-27 20:35:12.0
26,B13,DTDM_2425S1,2025-11-27 20:35:12.0,enrolled,,,0.00,2025-11-27 20:35:12.0
27,B27,DTDM_2425S1,2025-11-27 20:35:12.0,enrolled,,,0.00,2025-11-27 20:35:12.0
28,B26,DTDM_2425S1,2025-11-27 20:35:12.0,enrolled,,,0.00,2025-11-27 20:35:12.0
29,B07,DTDM_2425S1,2025-11-27 20:35:12.0,enrolled,,,0.00,2025-11-27 20:35:12.0
30,B05,DTDM_2425S1,2025-11-27 20:35:12.0,enrolled,,,0.00,2025-11-27 20:35:12.0
31,B06,DTDM_2425S1,2025-11-27 20:35:12.0,enrolled,,,0.00,2025-11-27 20:35:12.0
32,B08,DTDM_2425S1,2025-11-27 20:35:12.0,enrolled,,,0.00,2025-11-27 20:35:12.0
33,B09,DTDM_2425S1,2025-11-27 20:35:12.0,enrolled,,,0.00,2025-11-27 20:35:12.0
34,B10,DTDM_2425S1,2025-11-27 20:35:12.0,enrolled,,,0.00,2025-11-27 20:35:12.0
35,B11,DTDM_2425S1,2025-11-27 20:35:12.0,enrolled,,,0.00,2025-11-27 20:35:12.0
36,B12,DTDM_2425S1,2025-11-27 20:35:12.0,enrolled,,,0.00,2025-11-27 20:35:12.0
37,B14,DTDM_2425S1,2025-11-27 20:35:12.0,enrolled,,,0.00,2025-11-27 20:35:12.0
38,B15,DTDM_2425S1,2025-11-27 20:35:12.0,enrolled,,,0.00,2025-11-27 20:35:12.0
39,B16,DTDM_2425S1,2025-11-27 20:35:12.0,enrolled,,,0.00,2025-11-27 20:35:12.0
40,B20,DTDM_2425S1,2025-11-27 20:35:12.0,enrolled,,,0.00,2025-11-27 20:35:12.0
41,B17,DTDM_2425S1,2025-11-27 20:35:12.0,enrolled,,,0.00,2025-11-27 20:35:12.0
42,B18,DTDM_2425S1,2025-11-27 20:35:12.0,enrolled,,,0.00,2025-11-27 20:35:12.0
43,B19,DTDM_2425S1,2025-11-27 20:35:12.0,enrolled,,,0.00,2025-11-27 20:35:12.0
44,B21,DTDM_2425S1,2025-11-27 20:35:12.0,enrolled,,,0.00,2025-11-27 20:35:12.0
45,B22,DTDM_2425S1,2025-11-27 20:35:12.0,enrolled,,,0.00,2025-11-27 20:35:12.0
46,B23,DTDM_2425S1,2025-11-27 20:35:12.0,enrolled,,,0.00,2025-11-27 20:35:12.0
47,B01,DTDM_2425S1,2025-11-27 20:35:12.0,enrolled,,,0.00,2025-11-27 20:35:12.0
48,B04,DTDM_2425S1,2025-11-27 20:35:12.0,enrolled,,,0.00,2025-11-27 20:35:12.0
49,B03,DTDM_2425S1,2025-11-27 20:35:12.0,enrolled,,,0.00,2025-11-27 20:35:12.0
50,B01,NMN_2425S1,2025-11-27 20:35:16.0,enrolled,,,0.00,2025-11-27 20:35:16.0
51,A02,NMN_2425S1,2025-11-27 20:35:16.0,enrolled,,,0.00,2025-11-27 20:35:16.0
52,A03,NMN_2425S1,2025-11-27 20:35:16.0,enrolled,,,0.00,2025-11-27 20:35:16.0
53,A04,NMN_2425S1,2025-11-27 20:35:16.0,enrolled,,,0.00,2025-11-27 20:35:16.0
54,A05,NMN_2425S1,2025-11-27 20:35:16.0,enrolled,,,0.00,2025-11-27 20:35:16.0
55,A06,NMN_2425S1,2025-11-27 20:35:16.0,enrolled,,,0.00,2025-11-27 20:35:16.0
56,A07,NMN_2425S1,2025-11-27 20:35:16.0,enrolled,,,0.00,2025-11-27 20:35:16.0
57,A08,NMN_2425S1,2025-11-27 20:35:17.0,enrolled,,,0.00,2025-11-27 20:35:17.0
58,A09,NMN_2425S1,2025-11-27 20:35:17.0,enrolled,,,0.00,2025-11-27 20:35:17.0
59,A10,NMN_2425S1,2025-11-27 20:35:17.0,enrolled,,,0.00,2025-11-27 20:35:17.0
60,A11,NMN_2425S1,2025-11-27 20:35:17.0,enrolled,,,0.00,2025-11-27 20:35:17.0
61,A12,NMN_2425S1,2025-11-27 20:35:17.0,enrolled,,,0.00,2025-11-27 20:35:17.0
