gradeId,studentCode,courseCode,gradeType,gradeName,score,maxScore,weight,gradeDate,notes,createdAt
200,ST2022001,DTVT101-2425S1-01,assignment,Bai tap,7.50,10.00,0.30,2024-10-10,On dinh,2024-10-10 16:00:00
201,ST2022001,DTVT101-2425S1-01,midterm,Thi giua ky,6.50,10.00,0.30,2024-11-05,,2024-11-05 13:00:00
202,ST2022001,DTVT101-2425S1-01,final,Thi cuoi ky,8.00,10.00,0.40,2024-12-20,,2024-12-20 13:00:00
203,ST2022001,DTVT201-2425S1-01,assignment,Bai tap,9.00,10.00,0.30,2024-10-12,Rat tot,2024-10-12 15:00:00
204,ST2022001,DTVT201-2425S1-01,midterm,Thi giua ky,7.50,10.00,0.30,2024-11-10,,2024-11-10 13:00:00
205,ST2022001,DTVT201-2425S1-01,final,Thi cuoi ky,8.50,10.00,0.40,2024-12-25,,2024-12-25 13:00:00
206,ST2022002,DTVT101-2425S1-01,assignment,Bai tap,8.50,10.00,0.30,2024-10-15,,2024-10-15 10:00:00
207,ST2022002,DTVT101-2425S1-01,midterm,Thi giua ky,7.00,10.00,0.30,2024-11-05,,2024-11-05 13:00:00
208,ST2022002,DTVT101-2425S1-01,final,Thi cuoi ky,8.50,10.00,0.40,2024-12-20,,2024-12-20 13:00:00
209,ST2022003,QTKD101-2425S1-01,assignment,Bai tap,7.00,10.00,0.30,2024-10-18,,2024-10-18 14:00:00
210,ST2022003,QTKD101-2425S1-01,midterm,Thi giua ky,6.50,10.00,0.30,2024-11-08,,2024-11-08 13:00:00
211,ST2022003,QTKD101-2425S1-01,final,Thi cuoi ky,7.50,10.00,0.40,2024-12-22,,2024-12-22 13:00:00
